"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4089","Input field is displayed","chromium","2026-08-05","passed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","7189","Name field is displayed","chromium","2026-08-07","passed","2026-08-07","Add New Program UI Verification","tests\features\program\program-addnewprgUI.feature.spec.js","",""
"","2168","Program page Menu bar","chromium","2026-08-06","passed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","2326","Description field is displayed","chromium","2026-08-07","passed","2026-08-07","Add New Program UI Verification","tests\features\program\program-addnewprgUI.feature.spec.js","",""
"","7599","Text presence on the first field","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","2173","Verify added Program is created","chromium","2026-08-08","failed","2026-08-08","Edit Program Functional Verification","tests\features\program\program-editprg.feature.spec.js","",""
"","2548","Add new program with valid details","chromium","2026-08-08","passed","2026-08-08","Add New Program Functional Verification","tests\features\program\program-addnewprgFunc.feature.spec.js","",""
"","2332","Sorting of Program name in Ascending order","chromium","2026-08-08","passed","2026-08-08","Manage Sorting functionality","tests\features\program\program-sorting.feature.spec.js","",""
"","2349","Sorting of Program name in Ascending order and Descending order","chromium","2026-08-08","passed","2026-08-08","Manage Sorting functionality","tests\features\program\program-sorting.feature.spec.js","",""
"","2416","column header name of data table","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","2468","Sort icon presence","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","1102","Footer message is displayed","webkit","2026-08-07","failed","2026-08-07","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","3816","Login instruction message is displayed","chromium","2026-08-05","passed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","2450","Delete Program","chromium","2026-08-08","passed","2026-08-08","Delete Program","tests\features\program\deleteprg.feature.spec.js","",""
"","1993","Footer message is displayed","chromium","2026-08-07","passed","2026-08-07","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
